Tempo: 5, Valor de Saída: x
Tempo: 5465, Valor de Saída: 30993
Tempo: 5475, Valor de Saída: 62156
Tempo: 5485, Valor de Saída: 12136
Tempo: 5495, Valor de Saída: 23310
Tempo: 5505, Valor de Saída: 13551
Tempo: 5515, Valor de Saída: 30701
Tempo: 5525, Valor de Saída: 40686
Tempo: 5535, Valor de Saída: 6848
Tempo: 5545, Valor de Saída: 37663
Tempo: 5555, Valor de Saída: 58890
Tempo: 5565, Valor de Saída: 52996
Tempo: 5575, Valor de Saída: 52296
Tempo: 5585, Valor de Saída: 7771
Tempo: 5595, Valor de Saída: 37409
Tempo: 5605, Valor de Saída: 55815
Tempo: 5615, Valor de Saída: 18100
Tempo: 5625, Valor de Saída: 28313
Tempo: 5635, Valor de Saída: 52409
Tempo: 5645, Valor de Saída: 53973
Tempo: 5655, Valor de Saída: 21544
Tempo: 5665, Valor de Saída: 3502
Tempo: 5675, Valor de Saída: 57532
Tempo: 5685, Valor de Saída: 48220
Tempo: 5695, Valor de Saída: 50261
Tempo: 5705, Valor de Saída: 36202
Tempo: 5715, Valor de Saída: 9066
Tempo: 5725, Valor de Saída: 46861
Tempo: 5735, Valor de Saída: 28688
Tempo: 5745, Valor de Saída: 32847
Tempo: 5755, Valor de Saída: 58876
Tempo: 5765, Valor de Saída: 50732
Tempo: 5775, Valor de Saída: 7604
Tempo: 5785, Valor de Saída: 30236
Tempo: 5795, Valor de Saída: 30649
Tempo: 5805, Valor de Saída: 844
Tempo: 5815, Valor de Saída: 40956
Tempo: 5825, Valor de Saída: 63276
Tempo: 5835, Valor de Saída: 7405
Tempo: 5845, Valor de Saída: 28642
Tempo: 5855, Valor de Saída: 49871
Tempo: 5865, Valor de Saída: 38867
Tempo: 5875, Valor de Saída: 13186
Tempo: 5885, Valor de Saída: 11074
Tempo: 5895, Valor de Saída: 24533
Tempo: 5905, Valor de Saída: 61692
Tempo: 5915, Valor de Saída: 2529
Tempo: 5925, Valor de Saída: 16638
Tempo: 5935, Valor de Saída: 16947
Tempo: 5945, Valor de Saída: 35032
Tempo: 5955, Valor de Saída: 60052
Tempo: 5965, Valor de Saída: 48603
Tempo: 5975, Valor de Saída: 13648
Tempo: 5985, Valor de Saída: 60183
Tempo: 5995, Valor de Saída: 10098
Tempo: 6005, Valor de Saída: 45436
Tempo: 6015, Valor de Saída: 4620
Tempo: 6025, Valor de Saída: 46998
Tempo: 6035, Valor de Saída: 4837
Tempo: 6045, Valor de Saída: 13018
Tempo: 6055, Valor de Saída: 41013
Tempo: 6065, Valor de Saída: 28838
Tempo: 6075, Valor de Saída: 64996
Tempo: 6085, Valor de Saída: 19380
Tempo: 6095, Valor de Saída: 47032
Tempo: 6105, Valor de Saída: 43559
Tempo: 6115, Valor de Saída: 12106
Tempo: 6125, Valor de Saída: 2309
Tempo: 6135, Valor de Saída: 7484
Tempo: 6145, Valor de Saída: 62576
Tempo: 6155, Valor de Saída: 804
Tempo: 6165, Valor de Saída: 34495
Tempo: 6175, Valor de Saída: 45530
Tempo: 6185, Valor de Saída: 58960
Tempo: 6195, Valor de Saída: 50851
Tempo: 6205, Valor de Saída: 52418
Tempo: 6215, Valor de Saída: 13660
Tempo: 6225, Valor de Saída: 793
Tempo: 6235, Valor de Saída: 49461
Tempo: 6245, Valor de Saída: 58713
Tempo: 6255, Valor de Saída: 31984
Tempo: 6265, Valor de Saída: 57351
Tempo: 6275, Valor de Saída: 18837
Tempo: 6285, Valor de Saída: 60222
Tempo: 6295, Valor de Saída: 22944
Tempo: 6305, Valor de Saída: 4079
Tempo: 6315, Valor de Saída: 44846
Tempo: 6325, Valor de Saída: 59213
Tempo: 6335, Valor de Saída: 40043
Tempo: 6345, Valor de Saída: 8318
Tempo: 6355, Valor de Saída: 17600
Tempo: 6365, Valor de Saída: 61972
Tempo: 6375, Valor de Saída: 5501
Tempo: 6385, Valor de Saída: 41505
Tempo: 6395, Valor de Saída: 21665
Tempo: 6405, Valor de Saída: 4428
Tempo: 6415, Valor de Saída: 37945
Tempo: 6425, Valor de Saída: 9627
Tempo: 6435, Valor de Saída: 12650
Tempo: 6445, Valor de Saída: 22890
Tempo: 6455, Valor de Saída: 58275
Tempo: 6465, Valor de Saída: 14991
Tempo: 6475, Valor de Saída: 12184
Tempo: 6485, Valor de Saída: 57182
Tempo: 6495, Valor de Saída: 57058
Tempo: 6505, Valor de Saída: 28677
Tempo: 6515, Valor de Saída: 38080
Tempo: 6525, Valor de Saída: 43167
Tempo: 6535, Valor de Saída: 18261
Tempo: 6545, Valor de Saída: 21513
Tempo: 6555, Valor de Saída: 47367
Tempo: 6565, Valor de Saída: 51642
Tempo: 6575, Valor de Saída: 62997
Tempo: 6585, Valor de Saída: 30627
